N14BedMattress0 | Y | mattress | N14Bed | _Nuclear14\Recipes\Construction\furniture.yml
ShelfBar | Y | bar shelf | Shelf | Recipes\Construction\storage.yml
ShelfChemistry | Y | chemical shelf | Shelf | Recipes\Construction\storage.yml
ShelfGlass | Y | glass shelf | Shelf | Recipes\Construction\storage.yml
ShelfKitchen | Y | cooking shelf | Shelf | Recipes\Construction\storage.yml
ShelfMetal | Y | metal shelf | Shelf | Recipes\Construction\storage.yml
ShelfRGlass | Y | sturdy glass shelf | Shelf | Recipes\Construction\storage.yml
ShelfRMetal | Y | sturdy metal shelf | Shelf | Recipes\Construction\storage.yml
ShelfRWood | Y | sturdy wooden shelf | Shelf | Recipes\Construction\storage.yml
ShelfWood | Y | wooden shelf | Shelf | Recipes\Construction\storage.yml
Airlock | Y | airlock | Airlock | Recipes\Construction\structures.yml
AirlockGlass | Y | glass airlock | Airlock | Recipes\Construction\structures.yml
AirlockGlassShuttle | Y | glass shuttle airlock | AirlockShuttle | Recipes\Construction\structures.yml
AirlockShuttle | Y | shuttle airlock | AirlockShuttle | Recipes\Construction\structures.yml
BananiumDoor | Y | bananium door | DoorGraph | Recipes\Construction\structures.yml
BlastDoor | Y | blast door | BlastDoor | Recipes\Construction\structures.yml
Catwalk | Y | catwalk | Catwalk | Recipes\Construction\structures.yml
ClockworkGirder | Y | wall gear | ClockworkGirder | Recipes\Construction\structures.yml
ClockworkGrilleDiagonal | Y | diagonal clockwork grille | GrilleDiagonal | Recipes\Construction\structures.yml
ClockworkWindow | Y | clockwork window | Window | Recipes\Construction\structures.yml
ClockworkWindowDiagonal | Y | diagonal clockwork window | WindowDiagonal | Recipes\Construction\structures.yml
ConveyorBelt | Y | conveyor belt | ConveyorGraph | Recipes\Construction\structures.yml
FenceMetalCorner | Y | chain link fence corner | FenceMetal | Recipes\Construction\structures.yml
FenceMetalEnd | Y | chain link fence end-piece | FenceMetal | Recipes\Construction\structures.yml
FenceMetalGate | Y | chain link fence gate | FenceMetal | Recipes\Construction\structures.yml
Firelock | Y | firelock | Firelock | Recipes\Construction\structures.yml
FirelockEdge | Y | Thin firelock | Firelock | Recipes\Construction\structures.yml
FirelockGlass | Y | glass firelock | Firelock | Recipes\Construction\structures.yml
Girder | Y | girder | Girder | Recipes\Construction\structures.yml
GoldDoor | Y | gold door | DoorGraph | Recipes\Construction\structures.yml
Grille | Y | grille | Grille | Recipes\Construction\structures.yml
GrilleDiagonal | Y | diagonal grille | GrilleDiagonal | Recipes\Construction\structures.yml
MetalDoor | Y | metal door | DoorGraph | Recipes\Construction\structures.yml
PaperDoor | Y | paper door | DoorGraph | Recipes\Construction\structures.yml
PinionAirlock | Y | pinion airlock | PinionAirlock | Recipes\Construction\structures.yml
PinionAirlockGlass | Y | glass pinion airlock | PinionAirlock | Recipes\Construction\structures.yml
PlasmaDoor | Y | plasma door | DoorGraph | Recipes\Construction\structures.yml
PlasmaReinforcedWindowDirectional | Y | directional reinforced plasma window | WindowDirectional | Recipes\Construction\structures.yml
PlasmaWindow | Y | plasma window | Window | Recipes\Construction\structures.yml
PlasmaWindowDiagonal | Y | diagonal plasma window | WindowDiagonal | Recipes\Construction\structures.yml
PlasmaWindowDirectional | Y | directional plasma window | WindowDirectional | Recipes\Construction\structures.yml
PlasticFlapsClear | Y | plastic flaps | PlasticFlapsGraph | Recipes\Construction\structures.yml
PlasticFlapsOpaque | Y | opaque plastic flaps | PlasticFlapsGraph | Recipes\Construction\structures.yml
ReinforcedGirder | Y | reinforced girder | Girder | Recipes\Construction\structures.yml
ReinforcedPlasmaWindow | Y | reinforced plasma window | Window | Recipes\Construction\structures.yml
ReinforcedPlasmaWindowDiagonal | Y | diagonal reinforced plasma window | WindowDiagonal | Recipes\Construction\structures.yml
ReinforcedUraniumWindow | Y | reinforced uranium window | Window | Recipes\Construction\structures.yml
ReinforcedUraniumWindowDiagonal | Y | diagonal reinforced uranium window | WindowDiagonal | Recipes\Construction\structures.yml
ReinforcedWindow | Y | reinforced window | Window | Recipes\Construction\structures.yml
ReinforcedWindowDiagonal | Y | diagonal reinforced window | WindowDiagonal | Recipes\Construction\structures.yml
ShuttersRadiation | Y | radiation shutter | Shutters | Recipes\Construction\structures.yml
ShuttersWindow | Y | glass shutter | Shutters | Recipes\Construction\structures.yml
SilverDoor | Y | silver door | DoorGraph | Recipes\Construction\structures.yml
SolidSecretDoor | Y | solid secret door | SecretDoor | Recipes\Construction\structures.yml
TintedWindow | Y | tinted window | Window | Recipes\Construction\structures.yml
UraniumReinforcedWindowDirectional | Y | directional reinforced uranium window | WindowDirectional | Recipes\Construction\structures.yml
UraniumWindow | Y | uranium window | Window | Recipes\Construction\structures.yml
UraniumWindowDiagonal | Y | diagonal uranium window | WindowDiagonal | Recipes\Construction\structures.yml
UraniumWindowDirectional | Y | directional uranium window | WindowDirectional | Recipes\Construction\structures.yml
WallClock | Y | clock wall | ClockworkGirder | Recipes\Construction\structures.yml
Windoor | Y | windoor | Windoor | Recipes\Construction\structures.yml
Window | Y | window | Window | Recipes\Construction\structures.yml
WindowClockworkDirectional | Y | directional clockwork window | WindowDirectional | Recipes\Construction\structures.yml
WindowDiagonal | Y | diagonal window | WindowDiagonal | Recipes\Construction\structures.yml
WindowDirectional | Y | directional window | WindowDirectional | Recipes\Construction\structures.yml
WindowReinforcedDirectional | Y | directional reinforced window | WindowDirectional | Recipes\Construction\structures.yml
WoodDoor | Y | wooden door | DoorGraph | Recipes\Construction\structures.yml
EdgeDetector | Y | edge detector | LogicGate | Recipes\Construction\tools.yml
PowerSensor | Y | power sensor | LogicGate | Recipes\Construction\tools.yml
Torch | Y | torch | LightTorch | Recipes\Construction\tools.yml
AirSensor | Y | air sensor | AirSensor | Recipes\Construction\utilities.yml
BrigTimer | Y | brig timer | Timer | Recipes\Construction\utilities.yml
CableTerminal | Y | cable terminal | CableTerminal | Recipes\Construction\utilities.yml
DisposalBend | Y | disposal bend | DisposalPipe | Recipes\Construction\utilities.yml
DisposalJunction | Y | disposal junction | DisposalPipe | Recipes\Construction\utilities.yml
DisposalPipe | Y | disposal pipe | DisposalPipe | Recipes\Construction\utilities.yml
DisposalRouter | Y | disposal router | DisposalPipe | Recipes\Construction\utilities.yml
DisposalSignalRouter | Y | disposal signal router | DisposalPipe | Recipes\Construction\utilities.yml
DisposalTagger | Y | disposal tagger | DisposalPipe | Recipes\Construction\utilities.yml
DisposalTrunk | Y | disposal trunk | DisposalPipe | Recipes\Construction\utilities.yml
DisposalUnit | Y | disposal unit | DisposalMachine | Recipes\Construction\utilities.yml
DisposalYJunction | Y | disposal Y junction | DisposalPipe | Recipes\Construction\utilities.yml
FireAlarm | Y | fire alarm | FireAlarm | Recipes\Construction\utilities.yml
GasDualPortVentPump | Y | dual-port air vent | GasBinary | Recipes\Construction\utilities.yml
GasFilter | Y | gas filter | GasTrinary | Recipes\Construction\utilities.yml
GasMixer | Y | gas mixer | GasTrinary | Recipes\Construction\utilities.yml
GasOutletInjector | Y | air injector | GasUnary | Recipes\Construction\utilities.yml
GasPassiveGate | Y | passive gate | GasBinary | Recipes\Construction\utilities.yml
GasPassiveVent | Y | passive vent | GasUnary | Recipes\Construction\utilities.yml
GasPipeBend | Y | gas pipe bend | GasPipe | Recipes\Construction\utilities.yml
GasPipeFourway | Y | gas pipe fourway | GasPipe | Recipes\Construction\utilities.yml
GasPipeHalf | Y | gas pipe half | GasPipe | Recipes\Construction\utilities.yml
GasPipeSensor | Y | gas pipe sensor | GasPipeSensor | Recipes\Construction\utilities.yml
GasPipeStraight | Y | gas pipe straight | GasPipe | Recipes\Construction\utilities.yml
GasPipeTJunction | Y | gas pipe T junction | GasPipe | Recipes\Construction\utilities.yml
GasPort | Y | connector port | GasBinary | Recipes\Construction\utilities.yml
GasPressurePump | Y | gas pump | GasBinary | Recipes\Construction\utilities.yml
GasValve | Y | manual valve | GasBinary | Recipes\Construction\utilities.yml
GasVentPump | Y | air vent | GasUnary | Recipes\Construction\utilities.yml
GasVentScrubber | Y | air scrubber | GasUnary | Recipes\Construction\utilities.yml
GasVolumePump | Y | volumetric gas pump | GasBinary | Recipes\Construction\utilities.yml
HeatExchanger | Y | radiator | GasBinary | Recipes\Construction\utilities.yml
IntercomAssembly | Y | intercom | Intercom | Recipes\Construction\utilities.yml
MailingUnit | Y | mailing unit | DisposalMachine | Recipes\Construction\utilities.yml
PressureControlledValve | Y | pneumatic valve | GasTrinary | Recipes\Construction\utilities.yml
ScreenTimer | Y | screen timer | Timer | Recipes\Construction\utilities.yml
SignalControlledValve | Y | signal valve | GasBinary | Recipes\Construction\utilities.yml
SignalTimer | Y | signal timer | Timer | Recipes\Construction\utilities.yml
SolarPanel | Y | solar assembly | SolarPanel | Recipes\Construction\utilities.yml
StationMap | Y | station map | StationMap | Recipes\Construction\utilities.yml
WallmountTelescreen | Y | telescreen | WallmountTelescreen | Recipes\Construction\utilities.yml
BladedFlatcapBrown | Y | brown bladed flatcap | BladedFlatcapBrown | Recipes\Construction\weapons.yml
BladedFlatcapGrey | Y | grey bladed flatcap | BladedFlatcapGrey | Recipes\Construction\weapons.yml
Bola | Y | makeshift bola | Bola | Recipes\Construction\weapons.yml
MakeshiftShield | Y | makeshift shield | MakeshiftShield | Recipes\Construction\weapons.yml
PlasmaShiv | Y | plasma shiv | PlasmaShiv | Recipes\Construction\weapons.yml
ReinforcedShiv | Y | reinforced shiv | ReinforcedShiv | Recipes\Construction\weapons.yml
Shiv | Y | glass shiv | Shiv | Recipes\Construction\weapons.yml
Spear | Y | crude spear | Spear | Recipes\Construction\weapons.yml
SpearBone | Y | bone spear | SpearBone | Recipes\Construction\weapons.yml
SpearPlasma | Y | crude plasma spear | SpearPlasma | Recipes\Construction\weapons.yml
SpearReinforced | Y | crude reinforced spear | SpearReinforced | Recipes\Construction\weapons.yml
SpearUranium | Y | crude uranium spear | SpearUranium | Recipes\Construction\weapons.yml
UraniumShiv | Y | uranium shiv | UraniumShiv | Recipes\Construction\weapons.yml
WoodenBuckler | Y | wooden buckler | WoodenBuckler | Recipes\Construction\weapons.yml
ChairWeb | Y | web chair | WebStructures | Recipes\Construction\web.yml
CrateWeb | Y | web crate | WebStructures | Recipes\Construction\web.yml
TableWeb | Y | web table | WebStructures | Recipes\Construction\web.yml
WallWeb | Y | web wall | WebStructures | Recipes\Construction\web.yml
WebBed | Y | web bed | WebStructures | Recipes\Construction\web.yml
WebDoor | Y | web door | WebStructures | Recipes\Construction\web.yml
BigBox | Y | cardboard box | BaseBigBox | Recipes\Crafting\crates.yml
BoxCardboard | Y | cardboard box | BoxCardboard | Recipes\Crafting\crates.yml
CrateCoffin | Y | coffin | CrateCoffin | Recipes\Crafting\crates.yml
CrateGenericSteel | Y | steel crate | CrateGenericSteel | Recipes\Crafting\crates.yml
CrateLivestock | Y | livestock crate | CrateLivestock | Recipes\Crafting\crates.yml
CratePlastic | Y | plastic crate | CratePlastic | Recipes\Crafting\crates.yml
CrateSecure | Y | secure crate | CrateSecure | Recipes\Crafting\crates.yml
ShellShotgunImprovised | Y | improvised shotgun shell | ImprovisedShotgunShellGraph | Recipes\Crafting\improvised.yml
PotatoAI | Y | potato artificial intelligence | PotatoAI | Recipes\Crafting\potato.yml
PotatoAIChip | Y | supercompact AI chip | PotatoAIChip | Recipes\Crafting\potato.yml
PowerCellPotato | Y | potato battery | PowerCellPotato | Recipes\Crafting\potato.yml
ClosetWall | Y | wall closet | ClosetWall | Recipes\Crafting\tallbox.yml
ClothingOuterSuitIan | Y | ian suit | ClothingOuterSuitIan | Recipes\Crafting\toys.yml
PlushieGhostRevenant | Y | revenant plushie | PlushieGhostRevenant | Recipes\Crafting\toys.yml
ClothingOuterWinterWeb | Y | web winter coat | WebObjects | Recipes\Crafting\web.yml
ClothingShoesBootsWinterWeb | Y | web winter boots | WebObjects | Recipes\Crafting\web.yml
ClothingUniformJumpskirtWeb | Y | web jumpskirt | WebObjects | Recipes\Crafting\web.yml
ClothingUniformJumpsuitWeb | Y | web jumpsuit | WebObjects | Recipes\Crafting\web.yml
WebShield | Y | web shield | WebObjects | Recipes\Crafting\web.yml

TOTAL_CANDIDATES_CONSIDERED = 675
SKIPPED_ABSTRACT = 0
SKIPPED_HIDE = 23
TOTAL_REAL_CONSTRUCTION = 652
HAVE_RECIPE_KEY = 392
LACK_RECIPE_KEY_BUT_HAVE_ENT = 260
LACK_BOTH_RECIPE_AND_ENT = 0
FTL_FILES_SCANNED = 3060
